Problema,Semilla,S[00],S[01],S[02],S[03],S[04],S[05],S[06],S[07],S[08],S[09],S[10],S[11],S[12],S[13],S[14],S[15],S[16],S[17],S[18],S[19],S[20],S[21],S[22],S[23],S[24],S[25],S[26],S[27],S[28],S[29],S[30],S[31],S[32],S[33],S[34],S[35]
ex2_1_2.bch,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hs093,7,36,0,0,0,0,0,0,0,0,265,2,0,53710,168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0
genhs28,7,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hs099,7,85,0,0,0,0,0,0,0,0,1071,7,0,6794,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
ex14_1_2.bch,7,39,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
ex8_1_5.bch,7,13,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0
ex8_1_6.bch,7,624,3,0,622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
disc2,7,68,0,0,0,0,0,0,0,0,241,5,0,10289,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ex7_2_3bis.bch,7,80,0,0,0,0,0,0,0,0,119,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0
hs102,7,38,0,0,0,0,0,0,0,0,294,9,0,23760,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0
ex8_4_4bis.bch,7,922,2,0,0,0,0,0,0,0,4540,9,0,38664,213,0,0,0,0,18,0,0,0,0,0,0,0,0,42,1,0,7,0,0,0,0,0
test_infinity1.bch,7,271,5,0,762,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
himmel16.bch,7,576480,4081,0,0,0,0,0,0,0,3369,34,0,10484,51,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
ex9_2_5.bch,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ex8_1_2.bch,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ex6_2_8.bch,7,29,0,0,0,0,0,0,0,0,873,10,0,580755,5123,0,0,0,0,11,0,0,0,0,0,0,0,0,3,0,0,57,0,0,0,0,0
ex7_2_5.bch,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ex5_3_2.bch,7,39,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
ex6_1_3.bch,7,49,0,0,0,0,0,0,0,0,735,13,0,19009,201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0
ex8_5_6-1.bch,7,4264420,49931,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
synthes1,7,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
optmass,7,103,0,0,0,0,0,0,0,0,157,10,0,9038,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hs056,7,48,0,0,0,0,0,0,0,0,339,10,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0
ex2_1_8,7,788,11,0,0,0,0,0,0,0,327,3,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0
hs091,7,75,0,0,0,0,0,0,0,0,348,0,0,10364,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
avgasb,7,175,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hs088,7,342,4,0,0,0,0,0,0,0,760,8,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0
hs098,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
makela4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hs106,7,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
makela3,7,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hs104,7,47,0,0,0,0,0,0,0,0,854,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0
ex9_2_2.bch,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ex2_1_7,7,591,3,0,0,0,0,0,0,0,958,17,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0
test_infinity2.bch,42,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ex4_1_5.bch,42,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ex14_2_7.bch,42,29,0,0,0,0,0,0,0,0,2875,85,0,7695,160,0,0,0,0,17,0,0,0,0,0,0,0,0,86,0,0,24,0,0,0,0,0
pressure-vessel.bch,42,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
like.bch,42,5674344,206641,284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ex9_1_4.bch,42,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ex9_1_8.bch,42,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
batch,42,197,11,0,0,0,0,0,0,0,1161,11,0,13620,369,2,0,0,0,14,0,0,0,0,0,0,0,0,18,0,0,70,0,0,0,0,0
ex2_1_7,42,563,5,0,0,0,0,0,0,0,934,23,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0
ex6_1_2.bch,42,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dualc8,42,42,0,0,0,0,0,0,0,0,1176,45,0,82609,3700,13,0,0,0,18,0,0,0,0,0,0,0,0,6,0,0,63,0,0,0,0,0
polak5,42,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aircraftb,42,168,1,0,0,0,0,0,0,0,1917,15,0,471,24,0,0,0,0,26,0,0,0,0,0,0,0,0,64,0,0,14,0,0,0,0,0
ex4_1_8.bch,42,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hs108,42,37,0,0,0,0,0,0,0,0,641,12,0,19792,1042,9,0,0,0,8,0,0,0,0,0,0,0,0,15,0,0,45,0,0,0,0,0
hs093,42,23,0,0,0,0,0,0,0,0,233,7,0,47599,2642,9,3241,268,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,2,0,0
hs117,42,130,1,0,0,0,0,0,0,0,1590,15,0,8404,453,0,0,0,0,43,0,0,0,0,0,0,0,0,54,0,0,69,3,0,0,0,0
chem.bch,42,23,0,0,0,0,0,0,0,0,223,7,0,15488,958,11,5573,457,1,0,0,0,0,0,0,0,0,0,10,0,0,11,0,0,0,0,0
ex2_1_9.bch,42,55,1,0,0,0,0,0,0,0,1385,77,2,1376,90,0,0,0,0,20,0,0,0,0,0,0,0,0,27,0,0,12,0,0,0,0,0
ex2_1_8,42,632,3,0,0,0,0,0,0,0,449,4,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0
ex14_1_9.bch,42,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hs103,42,35,0,0,0,0,0,0,0,0,286,7,0,28648,2251,14,1585,96,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,11,0,0
like-1.bch,42,5468211,443559,2409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ex2_1_4.bch,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
exinfinity2.bch,42,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dualc1,42,113,4,0,0,0,0,0,0,0,518,5,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0
ex7_3_5bis.bch,42,3006146,283442,2137,0,0,0,0,0,0,629275,59096,661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ex8_4inf-1.bch,42,186,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hs110,42,3912,132,0,0,0,0,0,0,0,961,54,0,5295,526,15,0,0,0,7,0,0,0,0,0,0,0,0,20,0,0,26,0,0,0,0,0
ex8_1_8.bch,42,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ex6_2_11.bch,42,16,0,0,0,0,0,0,0,0,714,52,0,18250,1926,35,0,0,0,7,0,0,0,0,0,0,0,0,16,0,0,59,2,0,0,0,0
chembis.bch,42,17,0,0,0,0,0,0,0,0,178,41,0,21599,2390,40,4893,518,0,6,0,0,0,0,0,0,0,0,8,0,0,9,0,0,0,0,0
ex2_1_2.bch,42,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hs093,42,15,5,0,0,0,0,0,0,0,187,37,0,46361,5466,60,5734,710,2,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0
genhs28,42,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hs099,42,63,7,0,0,0,0,0,0,0,1471,194,0,2083,315,3,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,3,0,0,0,0,0
ex14_1_2.bch,42,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ex8_1_5.bch,42,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ex8_1_6.bch,42,500,7,0,481,4,0,0,0,0,0,0,0,0,0,0,0,0,0,37,4,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
disc2,42,69,0,0,0,0,0,0,0,0,169,35,0,9593,1442,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ex7_2_3bis.bch,42,77,1,0,0,0,0,0,0,0,27,1,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0
hs102,42,38,2,0,0,0,0,0,0,0,210,46,0,22129,3323,54,4856,707,19,0,0,0,0,0,0,0,0,0,0,0,0,43,2,0,11,0,0
ex8_4_4bis.bch,42,109,3,0,0,0,0,0,0,0,442,17,0,34615,5611,158,684,76,0,51,0,0,0,0,0,0,0,0,15,0,0,50,0,0,0,0,0
test_infinity1.bch,42,137,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
himmel16.bch,42,5345,279,0,0,0,0,0,0,0,802,28,0,1576,213,12,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0
ex9_2_5.bch,42,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ex8_1_2.bch,42,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ex6_2_8.bch,42,21,2,0,0,0,0,0,0,0,692,19,0,46620,8771,233,0,0,0,18,2,0,0,0,0,0,0,0,4,0,0,83,3,0,0,0,0
ex7_2_5.bch,42,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ex5_3_2.bch,42,28,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ex6_1_3.bch,42,30,11,0,0,0,0,0,0,0,490,79,0,9105,1792,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0
ex8_5_6-1.bch,42,158439,33394,969,0,0,22,0,0,0,3477472,732425,20388,0,273,2218,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
synthes1,42,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
optmass,42,68,15,0,0,0,0,0,0,0,128,35,0,8653,1938,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hs056,42,78,1,0,0,0,0,0,0,0,117,27,0,0,0,0,0,0,0,57,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
ex2_1_8,42,758,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hs091,42,2034,6,0,0,0,0,0,0,0,331,0,0,7506,1628,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0
avgasb,42,128,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hs088,42,356,12,0,0,0,0,0,0,0,551,96,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,62,1,0,0,0,0,0,0,0
hs098,42,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
makela4,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hs106,42,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
makela3,42,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hs104,42,50,1,0,0,0,0,0,0,0,445,120,1,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,62,1,0,0,0,0,0,0,0
ex9_2_2.bch,42,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ex2_1_7,42,472,9,0,0,0,0,0,0,0,745,97,0,0,0,0,0,0,0,70,4,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0
test_infinity2.bch,500,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ex4_1_5.bch,500,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ex14_2_7.bch,500,74,3,0,0,0,0,0,0,0,5559,1182,113,0,0,0,0,0,0,52,1,0,0,0,0,0,0,0,147,3,0,0,0,0,0,0,0
pressure-vessel.bch,500,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
like.bch,500,341004,115573,8517,0,0,0,0,0,0,4824,1786,205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ex9_1_4.bch,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ex9_1_8.bch,500,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
batch,500,136,11,0,0,0,0,0,0,0,1060,127,0,12724,742,9,0,0,0,24,0,0,0,0,0,0,0,0,14,0,0,122,0,0,0,0,0
ex2_1_7,500,453,10,0,0,0,0,0,0,0,833,26,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,37,1,0,0,0,0,0,0,0
ex6_1_2.bch,500,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dualc8,500,25,1,0,0,0,4,0,0,0,1305,40,0,76132,24685,2445,0,0,0,20,0,0,0,0,0,0,0,0,50,1,0,110,12,0,0,0,0
polak5,500,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aircraftb,500,41,1,0,0,0,0,0,0,0,1531,33,0,474,110,0,0,0,0,38,0,0,0,0,0,0,0,0,239,4,0,43,3,0,0,0,0
ex4_1_8.bch,500,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hs108,500,26,1,0,0,0,31,0,0,0,606,20,0,13081,5379,477,0,0,0,20,0,0,0,0,0,0,0,0,43,0,0,110,14,0,0,0,0
hs093,500,20,1,0,0,0,43,0,0,1,202,6,0,33849,14605,1406,11819,5230,798,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0
hs117,500,104,2,0,0,0,13,0,0,0,1262,41,0,5091,2138,319,0,0,0,69,1,0,0,0,0,0,0,0,92,4,0,26,0,0,0,0,0
chem.bch,500,16,1,0,0,0,31,0,0,11,218,6,0,11174,4916,492,9834,4538,486,4,0,0,0,0,0,0,0,0,12,0,0,21,5,0,0,0,0
ex2_1_9.bch,500,21,0,0,0,0,0,0,0,0,1515,142,0,757,341,21,0,0,0,35,0,0,0,0,0,0,0,0,71,1,0,0,0,0,0,0,0
ex2_1_8,500,671,12,0,0,0,0,0,0,0,289,30,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0
ex14_1_9.bch,500,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hs103,500,40,2,0,0,0,43,0,0,15,268,9,0,19525,9428,1053,10272,4907,627,0,0,0,0,0,0,0,0,0,0,0,0,112,11,0,25,0,0
like-1.bch,500,108419,51673,7245,0,0,0,0,0,0,41259,19812,2957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ex2_1_4.bch,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
exinfinity2.bch,500,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dualc1,500,56,30,10,0,0,0,0,0,0,223,145,19,0,0,0,0,0,0,41,2,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
ex7_3_5bis.bch,500,2126650,1094480,175784,0,0,0,0,0,0,353486,180444,27975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ex8_4inf-1.bch,500,49,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hs110,500,19,1,0,0,0,4,0,0,0,727,373,76,1752,920,177,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0
ex8_1_8.bch,500,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ex6_2_11.bch,500,11,0,0,0,0,25,0,0,0,440,225,34,10496,5778,876,0,0,0,15,1,0,0,0,0,0,0,0,17,0,0,62,25,0,0,0,0
chembis.bch,500,9,0,0,0,0,17,0,0,100,125,70,14,13595,8016,1451,11775,6379,1152,17,1,0,0,0,0,0,0,0,7,0,0,42,0,0,0,0,0
